都道府県,人口,面積,人口密度,外国人,国籍不詳率,公務員,産業動物,小動物診療
愛知県,7507691 ,5173 ,1451 ,160228 ,0 ,1671 ,395 ,92 
愛媛県,1374881 ,5676 ,242 ,7828 ,0 ,397 ,123 ,34 
茨城県,2907262 ,6097 ,477 ,40477 ,0 ,1145 ,216 ,124 
岡山県,1915401 ,7114 ,269 ,18476 ,0 ,596 ,157 ,82 
沖縄県,1439913 ,2281 ,631 ,7651 ,0 ,450 ,177 ,58 
岩手県,1268083 ,15275 ,83 ,5184 ,0 ,628 ,137 ,162 
岐阜県,2022785 ,10621 ,190 ,36879 ,0 ,664 ,215 ,36 
宮崎県,1095959 ,7735 ,142 ,3802 ,0 ,652 ,226 ,209 
宮城県,2329431 ,7282 ,320 ,12367 ,0 ,653 ,199 ,125 
京都府,2605731 ,4612 ,565 ,41855 ,0 ,649 ,151 ,19 
熊本県,1774538 ,7409 ,240 ,7624 ,0 ,655 ,187 ,126 
群馬県,1966381 ,6362 ,309 ,35458 ,0 ,647 ,186 ,107 
広島県,2838494 ,8479 ,335 ,31882 ,0 ,717 ,205 ,63 
香川県,972156 ,1877 ,518 ,6858 ,0 ,343 ,104 ,29 
高知県,720907 ,7104 ,101 ,3172 ,0 ,259 ,91 ,19 
佐賀県,828388 ,2441 ,339 ,3594 ,0 ,255 ,98 ,34 
埼玉県,7288081 ,3798 ,1919 ,88734 ,0 ,1967 ,345 ,73 
三重県,1807611 ,5774 ,313 ,32825 ,0 ,455 ,149 ,39 
山形県,1113029 ,9323 ,119 ,6158 ,0 ,358 ,114 ,73 
山口県,1393904 ,6112 ,228 ,12292 ,0 ,480 ,140 ,37 
山梨県,829884 ,4465 ,186 ,12484 ,0 ,217 ,74 ,8 
滋賀県,1413079 ,4017 ,352 ,21537 ,0 ,414 ,85 ,62 
鹿児島県,1637073 ,9187 ,178 ,5490 ,0 ,1074 ,376 ,277 
秋田県,1009705 ,11638 ,87 ,3356 ,0 ,301 ,110 ,42 
新潟県,2285856 ,12584 ,182 ,11914 ,0 ,514 ,155 ,38 
神奈川県,9145572 ,2416 ,3786 ,125686 ,0 ,2715 ,514 ,41 
青森県,1293619 ,9646 ,134 ,3688 ,0 ,546 ,193 ,74 
静岡県,3686945 ,7777 ,474 ,61610 ,0 ,1120 ,245 ,44 
石川県,1150818 ,4186 ,275 ,9768 ,0 ,254 ,68 ,10 
千葉県,6240408 ,5158 ,1210 ,78927 ,0 ,1878 ,402 ,145 
大阪府,8837812 ,1905 ,4639 ,164704 ,0 ,1549 ,275 ,14 
大分県,1159634 ,6341 ,183 ,8841 ,0 ,436 ,147 ,48 
長崎県,1366514 ,4132 ,331 ,6498 ,0 ,490 ,192 ,64 
長野県,2087997 ,13562 ,154 ,29841 ,0 ,761 ,197 ,66 
鳥取県,569579 ,3507 ,162 ,3596 ,0 ,336 ,107 ,46 
島根県,689817 ,6708 ,103 ,4779 ,0 ,350 ,106 ,59 
東京都,13636222 ,2191 ,6224 ,318829 ,0 ,4025 ,535 ,42 
徳島県,750210 ,4147 ,181 ,4076 ,0 ,348 ,113 ,20 
栃木県,1968425 ,6408 ,307 ,26429 ,0 ,710 ,179 ,116 
奈良県,1356950 ,3691 ,368 ,9255 ,0 ,344 ,93 ,11 
富山県,1061393 ,4248 ,250 ,11002 ,0 ,270 ,104 ,16 
福井県,782232 ,4190 ,187 ,10562 ,0 ,163 ,45 ,8 
福岡県,5106707 ,4986 ,1024 ,40317 ,0 ,1084 ,299 ,46 
福島県,1900106 ,13784 ,138 ,9347 ,0 ,529 ,133 ,108 
兵庫県,5520575 ,8401 ,657 ,79040 ,0 ,1372 ,395 ,100 
北海道,5352306 ,78421 ,68 ,18280 ,0 ,3427 ,688 ,1080 
和歌山県,953924 ,4725 ,202 ,4837 ,0 ,230 ,81 ,3 
